epoch,train_loss,train_acc,val_loss,val_acc
1,1.7162757035716416,37.134,1.3298231061500838,51.73
2,1.217437914265391,56.132,1.1364958557901503,58.49
3,1.066290275215188,62.212,1.0533668474306035,62.27
4,0.9859486635383743,64.908,1.028901514373248,62.82
5,0.922033181275858,67.314,0.9758439878874188,64.6
6,0.8755003053818822,69.002,0.9379295540761344,66.53
7,0.8300218702582143,70.604,0.9121548737151713,67.31
8,0.7921462580371086,71.902,0.8869324341604982,68.1
9,0.7506021842779711,73.484,0.9005984528155266,68.36
10,0.7135097864643692,74.852,0.8923153816899166,68.15
11,0.676411565002578,76.15,0.8725901683674583,69.65
12,0.6356988367827042,77.496,0.8909840364999408,69.36
13,0.5982703658778344,78.948,0.8894239384916764,69.82
14,0.5560770491352471,80.388,0.8733219172381148,70.15
15,0.5103011738003977,81.834,0.8815847838981242,70.74
16,0.46617622082800514,83.698,0.9211189528054828,69.74
17,0.4192942255140875,85.28,0.9206731960743288,70.95
18,0.3733522896571537,86.866,0.9629639394675629,70.51
19,0.32300618580540125,88.742,0.9872788107847865,70.35
20,0.27649253542008606,90.536,1.0437613914284525,70.28
21,0.22885156544806706,92.362,1.065615258639372,70.63
22,0.18754142368464824,93.932,1.1111639904070505,71.08
23,0.15481265540927877,95.174,1.1584037278271928,70.51
24,0.12028309518037855,96.6,1.1925656305083745,70.93
25,0.09632368020884827,97.542,1.235712243031852,70.62
26,0.07769658805235573,98.232,1.2807359061663663,71.08
27,0.06299660652590072,98.746,1.3096221277985391,70.86
28,0.05428358426084146,99.044,1.3348872699315035,71.04
29,0.04899172721635502,99.204,1.346657456476477,70.97
30,0.044544068882075114,99.342,1.3506139433836635,71.01
