epoch,train_loss,train_acc,val_loss,val_acc
1,0.6458541134281841,77.944,0.6527042698256577,78.2
2,0.4089870750141876,86.136,0.5266543785228005,82.5
3,0.34059174572262924,88.36,0.3941634668956829,86.64
4,0.30064236831939434,89.596,0.3831767251219931,87.12
5,0.26924620183837383,90.694,0.3906001092135152,86.69
6,0.2416033326359966,91.698,0.3634054634389998,87.54
7,0.22378528169582568,92.232,0.3152445509463926,89.35
8,0.20072557956285184,93.114,0.3179415588891959,89.36
9,0.17823357459948497,93.91,0.34435972646821905,88.84
10,0.15696886485761694,94.644,0.3410646964477587,89.3
11,0.14156795524613328,95.182,0.2804433260160156,90.6
12,0.12230793989318259,95.734,0.33165773334382453,89.6
13,0.1015708991909957,96.512,0.33066297143320494,89.9
14,0.08704515201184908,97.074,0.27957599430899077,91.11
15,0.07091104653675842,97.576,0.29990916538842116,90.83
16,0.05901724719406699,98.034,0.26345688689358626,91.89
17,0.04614511263840224,98.488,0.2920669187096101,91.82
18,0.03634356122578273,98.846,0.2525350835315789,92.64
19,0.021391112584253903,99.356,0.2538530646905869,93.15
20,0.019907056149142933,99.372,0.2348483062431782,93.37
21,0.013584627766016861,99.594,0.23980167409098602,93.48
22,0.00856759504023868,99.776,0.2244463378587101,93.68
23,0.006450287266256278,99.85,0.22348510054281995,93.9
24,0.0032101663225062448,99.938,0.21180263798259483,94.22
25,0.002618416220277531,99.962,0.20675972830268402,94.4
26,0.0014402300876099616,99.99,0.20360771382722673,94.48
27,0.0011986136986755545,99.988,0.20625109150062634,94.54
28,0.0009234185343819059,100.0,0.20782673066552682,94.41
29,0.0008116192200764194,100.0,0.20442438941401772,94.54
30,0.0008188657145655436,100.0,0.20315205018165744,94.45
