epoch,train_loss,train_acc,val_loss,val_acc
1,0.33732249825964195,88.944,0.1965746324084982,93.61
2,0.17277229579208453,94.11,0.19499354833100416,93.46
3,0.14890152521317115,94.97,0.1987501401689988,93.68
4,0.12162487043063049,95.784,0.19725877607736406,93.6
5,0.11682056270234878,96.004,0.21436024362905115,93.32
6,0.10585200977618889,96.398,0.24503187778629834,92.62
7,0.10051711206145757,96.542,0.2140118142566349,93.23
8,0.09581757405453631,96.738,0.18182725544217265,94.2
9,0.08043052185603115,97.266,0.18763881978354877,94.13
10,0.07491588253108665,97.39,0.19542668500467192,94.19
11,0.06763285594275388,97.652,0.20820778523442113,93.84
12,0.060309104202196116,97.89,0.1966120138575759,94.04
13,0.052185883737214465,98.232,0.1776755256931993,94.58
14,0.04582521683939011,98.448,0.18987728499724896,94.5
15,0.04120656800077623,98.656,0.18048750058618152,94.94
16,0.03333949800128179,98.888,0.20065420643791934,94.54
17,0.026440371448695755,99.096,0.19221631003708778,94.54
18,0.024962563119480943,99.192,0.1879621065115627,94.75
19,0.019616282317558745,99.364,0.1794777186351675,95.15
20,0.015084613989199015,99.538,0.16385190296163665,95.59
21,0.010263015841827025,99.708,0.1571796746995253,95.71
22,0.010205660115384384,99.708,0.15734020167890983,95.69
23,0.006342845956992615,99.86,0.14789037835560268,96.01
24,0.004309688849896288,99.924,0.14181756452197516,96.13
25,0.0045226354386730125,99.876,0.14320190283882467,96.12
26,0.003203449189252651,99.954,0.14347293869226793,96.15
27,0.0030903050744021192,99.944,0.1413397753399007,96.28
28,0.003014913073840939,99.948,0.13769807968335815,96.36
29,0.0023918788122516983,99.968,0.13772326976626734,96.27
30,0.002545440309409164,99.964,0.13596365904977806,96.39
