epoch,train_loss,train_acc,val_loss,val_acc
1,1.4753835516817428,45.302,1.258273319353031,55.22
2,0.8985425215547956,68.174,0.7919320735750319,71.8
3,0.663645843715619,76.93,0.6615477396717554,77.28
4,0.5373013348835508,81.55,0.5417424960981442,81.49
5,0.46431456342377625,83.982,0.48941845720327354,83.33
6,0.4122622176204496,85.798,0.47855005102067055,84.07
7,0.3662307860753725,87.252,0.42071808063531224,85.45
8,0.3320478483310441,88.552,0.4057360740402077,86.32
9,0.30260302286471247,89.494,0.4304266783255565,85.84
10,0.2735845767094961,90.554,0.3904229617571529,87.13
11,0.2437652735911367,91.642,0.3820795631861385,87.56
12,0.22111322513550444,92.306,0.3656686395406723,88.31
13,0.20366218958593085,92.866,0.3403881922175613,88.79
14,0.17877859989052539,93.902,0.348067181397088,89.03
15,0.1584086396143107,94.468,0.33212723196307314,89.25
16,0.1349785035890539,95.402,0.33342294545867773,89.46
17,0.11537919620342572,95.988,0.32491637785223465,89.97
18,0.09732192715682338,96.624,0.3403404348447353,89.8
19,0.08167651249453083,97.288,0.3587569276554675,90.02
20,0.06722189315006404,97.724,0.35395898528491393,89.95
21,0.05229632418050104,98.32,0.34140443801879883,90.43
22,0.04296848198036899,98.618,0.3530115237153029,90.71
23,0.03276459884036647,98.976,0.3533243237039711,90.66
24,0.028346330129905888,99.15,0.3530689758024638,91.26
25,0.020193361414625022,99.452,0.36063255143316486,91.11
26,0.01888355247311942,99.508,0.34914796403314496,91.33
27,0.01497408292908936,99.614,0.3510209702992741,91.32
28,0.01442165417379945,99.626,0.34979437763177895,91.46
29,0.012212237836245228,99.702,0.35229604993062685,91.59
30,0.012213884919519772,99.72,0.34983711303034914,91.46
