epoch,train_loss,train_acc,val_loss,val_acc
1,3.866605562932046,9.168,3.442461225050914,14.96
2,2.9683833286890287,23.72,2.5855630138252357,31.1
3,2.344810393155383,36.752,2.186208711394781,40.9
4,1.9489606560953439,46.058,1.9089906306206426,46.78
5,1.693174208216655,52.2,1.7412650223019757,51.03
6,1.500359179418715,56.858,1.5923772235459919,55.08
7,1.349138959899278,60.952,1.5494142272804357,57.98
8,1.222703890117538,64.224,1.5216298390038405,59.45
9,1.114242009037291,66.682,1.4234705650353734,60.22
10,1.0090853109993898,69.736,1.2960272152212602,62.63
11,0.9201133769491444,72.58,1.4398294717450686,62.59
12,0.8226121100013518,75.006,1.2910634513142742,63.25
13,0.7418366018158701,77.458,1.2342234872564484,65.64
14,0.6628351475271728,79.616,1.2749039251593095,65.02
15,0.5811951275524276,81.832,1.228904958767227,66.7
16,0.5085259900068688,84.204,1.2734320374983776,66.5
17,0.43531732181149063,86.516,1.2364282004440887,67.19
18,0.3677552125185652,88.724,1.2422943115234375,67.07
19,0.3093010432579938,90.56,1.2302896063539046,68.39
20,0.26028834736865497,92.158,1.3909355432172366,68.01
21,0.2090489662173764,94.004,1.280087575127807,68.21
22,0.17156215675194245,95.446,1.2935445361499545,68.34
23,0.14048396475860836,96.476,1.3310204284100593,68.71
24,0.11444317565664001,97.384,1.3395173406299157,68.97
25,0.10019055873994022,97.848,1.3298112787777865,68.98
26,0.08803476809578784,98.276,1.3247475857976116,69.39
27,0.07735480387192553,98.578,1.3535111787952954,69.4
28,0.06982352563639736,98.934,1.354752367810358,69.41
29,0.06752098337425601,98.952,1.3504978742780565,69.44
30,0.06540577712914218,99.002,1.3212014881870415,69.64
