epoch,train_loss,train_acc,val_loss,val_acc
1,3.6986685476034804,13.268,3.210947486418712,21.45
2,3.001568045457611,25.404,2.7929376197766653,30.06
3,2.6486863864352332,32.666,2.5959882343871685,34.57
4,2.43573393358294,37.134,2.502341315716128,36.23
5,2.268549002954722,40.672,2.4084034720553626,38.16
6,2.140532436883053,43.568,2.3382498946370958,40.05
7,2.0144350641523787,46.324,2.2929852250256118,41.24
8,1.8996105187994134,48.902,2.248046784461299,41.87
9,1.7824198425273456,51.474,2.2346434457392634,42.25
10,1.664912951266979,54.606,2.2150148651267907,43.11
11,1.547032698950804,57.232,2.2228541857079613,43.37
12,1.427377355373119,60.118,2.2289173919943313,43.58
13,1.3046900986710472,63.208,2.256729211988328,44.42
14,1.1609987526598489,67.13,2.270435677299017,44.43
15,1.0261303782463074,71.184,2.33595857288264,43.93
16,0.878436975314489,75.254,2.3837690519381174,43.45
17,0.7280211211622828,79.838,2.405970024157174,44.21
18,0.583832764793235,84.526,2.4713265820394588,44.07
19,0.44558723503366454,89.168,2.5081226704995845,44.41
20,0.3294893273383455,93.142,2.569927855382992,44.14
21,0.23035493809396348,96.358,2.6093102074876615,44.65
22,0.16080035419796435,98.452,2.6540480022188984,44.14
23,0.11429751031767682,99.346,2.6860861838618413,44.14
24,0.0842984634382493,99.734,2.7181634752056265,44.36
25,0.06783517177604959,99.886,2.726493455186675,44.94
26,0.056438677517883,99.952,2.733734010141107,44.75
27,0.049772619743786196,99.936,2.745007798641543,44.78
28,0.04509453426884568,99.962,2.753829150260249,44.68
29,0.04229651567766733,99.974,2.754903449287897,44.66
30,0.04091244576798985,99.97,2.7562016761755643,44.71
